Country;ISO_A3;LE;HLI;HDI
Afghanistan;AFG;62.25;38,75108;0,479
Albania;ALB;77.66;69,67664;0,764
Algeria;DZA;75.27;62,48847;0,745
Angola;AGO;60.19;38,38733;0,533
Antigua and Barbuda;ATG;75.82;69,47081;0,786
Argentina;ARG;76.01;68,42841;0,827
Armenia;ARM;73.98;66,49491;0,743
Australia;AUS;82.30;78,8537;0,939
Austria;AUT;80.99;77,87206;0,893
Azerbaijan;AZE;71.57;58,48804;0,759
Bahamas;BHS;75.14;68,05531;0,792
Bahrain;BHR;76.41;71,69376;0,824
Bangladesh;BGD;71.24;56,75228;0,579
Barbados;BRB;75.36;69,4574;0,795
Belarus;BLR;72.15;68,29034;0,796
Belgium;BEL;80.53;77,26289;0,896
Belize;BLZ;69.76;61,63751;0,706
Benin;BEN;59.93;37,6526;0,485
Bhutan;BTN;68.78;54,43329;0,607
Bolivia (Plurinational State of);BOL;67.72;48,05378;0,674
Bosnia and Herzegovina;BIH;76.31;71,20106;0,75
Botswana;BWA;62.91;48,34328;0,698
Brazil;BRA;74.66;65,47961;0,754
Brunei Darussalam;BRN;76.71;72,00759;0,865
Bulgaria;BGR;74.25;68,75886;0,794
Burkina Faso;BFA;58.71;37,72842;0,402
Burundi;BDI;56.09;33,15974;0,404
Cabo Verde;CPV;72.14;61,52652;0,648
Cambodia;KHM;67.61;54,27347;0,563
Cameroon;CMR;56.39;35,37941;0,518
Canada;CAN;81.78;77,90682;0,92
Central African Republic;CAF;49.40;27,07797;0,352
Chad;TCD;51.67;28,48765;0,396
Chile;CHL;78.83;73,57617;0,847
China;CHN;75.67;68,95461;0,738
China, Hong Kong SAR;HKG;83.41;81,23495;0,917
Colombia;COL;73.75;63,16624;0,727
Comoros;COM;62.83;43,44524;0,497
Congo;COG;62.55;44,56527;0,592
Costa Rica;CRI;79.16;72,69118;0,776
Croatia;HRV;77.05;73,55257;0,827
Cuba;CUB;79.16;74,82055;0,775
Cyprus;CYP;79.92;76,70229;0,856
Czechia;CZE;78.17;75,41949;0,878
Côte d'Ivoire;CIV;51.70;31,67775;0,474
Democratic Republic of the Congo;COD;58.10;35,40875;0,435
Denmark;DNK;80.15;77,04964;0,925
Djibouti;DJI;61.62;41,5749;0,473
Dominican Republic;DOM;73.23;60,94365;0,722
Ecuador;ECU;75.55;64,17425;0,739
Egypt;EGY;70.84;61,34336;0,691
El Salvador;SLV;72.64;62,67707;0,68
Equatorial Guinea;GNQ;56.84;35,14688;0,592
Eritrea;ERI;63.42;47,16767;0,42
Estonia;EST;76.76;73,1414;0,865
Ethiopia;ETH;63.69;45,33188;0,448
Fiji;FJI;69.72;61,15761;0,736
